# axis_names.txt -- repo-owned supplement naming ROM descriptor axes
# ==================================================================
# GENERATED FILE.  Regenerate with `python scripts/axis_names.py`; never hand-edit.
# Derived from rom/ae5l600l.bin bytes (stock) on every run.
#
# WHY THIS FILE EXISTS
# --------------------
# The axis-name method that settled the core RAM identities (docs/corrections.md
# item 9) reads an axis's NAME out of definitions/*.xml.  Those XMLs are owned by
# ECUFlash, which rewrites them on save -- repo-side edits are lost and the two
# copies silently diverge, which is why the definition edits in corrections items
# 24, 25 and 26 were all reverted.  So naming this project derives from ROM bytes
# is recorded HERE, in a file the repo owns, and never in the XMLs.
#
# THE GAP THIS CLOSES
# -------------------
# 780 descriptors decoded from ROM bytes reference 997 distinct axis
# addresses.  The definition XMLs name only 160 of them.  Every unnamed axis is
# a lost vote for the RAM->axis method, and roughly 60 traced RAM variables reach
# ONLY unnamed axes, so for those the method has nothing to say.
#
# STATUS: EVIDENCE-RANKED, NOT AUTHORITATIVE
# ------------------------------------------
# Definition XML names ALWAYS outrank this file.  Consult it only for axis
# addresses the XMLs do not name.  Read the confidence column before using a row:
#
#   high        Two independent sources agree: a RAM variable whose identity is
#               SETTLED in docs/corrections.md is traced being passed as this
#               axis's lookup input, AND the breakpoint envelope agrees with that
#               quantity.  Reason from these, including about identity.
#   medium      One source only -- either a settled feeder with an envelope that is
#               merely compatible, or an envelope signature with no feeder at all.
#               Usable as a hypothesis; do NOT settle a RAM identity from it.
#   low         Weak/suggestive only.
#   unresolved  No usable signal, or the feeder and the envelope CONTRADICT each
#               other.  Deliberately left unnamed.  A wrong rename is worse than an
#               honest gap.
#
# WHAT COUNTS AS A SETTLED FEEDER
# -------------------------------
# Only the RAM identities proved from ROM bytes in docs/corrections.md items 8-13
# and 22.  Identities held back as medium in item 23 (0xFFFF4150, 0xFFFF6634,
# 0xFFFF89C8, 0xFFFF63C0, 0xFFFF63C4, 0xFFFF63CC, 0xFFFF5FFC, 0xFFFFA198) never
# promote a row above medium; they are reported in the evidence column so the
# reverse inference (name the axis -> settle the RAM var) stays visible.
#
# KNOWN LIMITS
# ------------
#  * The D3 feed trace in scripts/coverage_map.py is a LINEAR sweep, not
#    control-flow aware.  An FR tag can survive a basic-block boundary and be
#    attributed to the wrong lookup.  That is why a feeder that contradicts the
#    envelope demotes a row to `unresolved` instead of overriding the envelope.
#  * Envelope bands were measured from the definition-NAMED axis population of this
#    ROM, not assumed: rpm 55 axes -50..10000; load 29 axes 0.2..3; intake temp 11
#    axes -40..120; coolant 4 axes -30..70; pressure 12 axes -1000..1000; throttle
#    5 axes 0..100; airflow 3 axes 0.9..290; voltage 1 axis 8..16.
#  * `temperature` means coolant-or-intake: the two are indistinguishable on
#    envelope alone (both run -40..110 in this ROM) and are only separated by a
#    settled feeder.  It is NOT a token scripts/coverage_map.py's quantity_of()
#    emits; treat it as matching either.
#  * Breakpoints are read as big-endian float32, which is what the descriptor
#    acceptance rule in coverage_map.py already proves for every axis listed.
#
# HOW TO CONSUME THIS FILE
# ------------------------
# Records are the lines that start with `0x`, pipe-delimited, 10 fields:
#
#   1 axis_addr   hex, the descriptor axis pointer
#   2 elements    breakpoint count (max, where descriptors share a prefix)
#   3 min         first/min breakpoint value, raw
#   4 max         last/max breakpoint value, raw
#   5 name        PROPOSED axis name, in definition-XML vocabulary, or `-`
#   6 quantity    token, aligned with coverage_map.quantity_of() output, or `-`
#   7 confidence  high | medium | low | unresolved
#   8 descriptors comma-separated `descriptor_addr:slot` (slot 0 = FR4 input)
#   9 feeders     comma-separated RAM addresses traced feeding this axis
#  10 evidence    prose; `;`-separated clauses
#
# Fields never contain `|`.  Parse with `line.split('|')` and strip.
#
# INTEGRATION POINT for scripts/coverage_map.py
# ---------------------------------------------
# In build(), the axis naming maps are assembled at the block beginning
# `axis_names = defaultdict(set)` / `_axis_q_votes` (search for
# `# ---- axis address -> definition-given name(s) ----`).  After that loop over
# d.tables completes, merge this file for addresses NOT already present:
#
#     for r in read_axis_names():                  # confidence in ('high',)
#         if r.addr not in axis_names:             # XML always wins
#             axis_names[r.addr].add('(supplement) ' + r.name)
#             axis_q.setdefault(r.addr, r.quantity)
#
# Gate on confidence == 'high' for the contradiction tests (b) and (c); `medium`
# may be surfaced in evidence text but must not flag a CONFLICT on its own.
# The AXIS_QUANTITY_ENVELOPE table built just below that block should be extended
# from `high` rows only.
#
# ------------------------------------------------------------------------------
# SUMMARY: 865 unnamed descriptor axes; 152 high, 205 medium, 0 low, 508 unresolved.
# 160 of 997 axis addresses are named by the definition XMLs.
#
# axis_addr | elem | min | max | name | quantity | conf | descriptors | feeders | evidence

# ==== HIGH (152) ========================================
0xC0294 | 16 | 0 | 120 | Vehicle Speed | vehicle_speed | high | 0xAA760:0 | 0xFFFF65FC | settled RAM feeder 0xFFFF65FC (Vehicle Speed, corrections item 8 / 9) is passed as this axis's lookup input at 2 call site(s); envelope 0..120 AGREES with vehicle_speed
0xC03C0 | 5 | 8 | 16 | Battery Volts | voltage | high | 0xAA788:0 | 0xFFFF4130 | settled RAM feeder 0xFFFF4130 (Battery Volts, corrections item 10) is passed as this axis's lookup input at 1 call site(s); envelope 8..16 AGREES with voltage
0xC0B34 | 6 | 1000 | 6000 | Engine Speed | rpm | high | 0xAA86C:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 1000..6000 AGREES with rpm
0xC0DD4 | 5 | 1000 | 5000 | Engine Speed | rpm | high | 0xAA95C:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 1000..5000 AGREES with rpm
0xC15A4 | 6 | 0 | 100 | Vehicle Speed | vehicle_speed | high | 0xAAA0C:0 | 0xFFFF65FC | settled RAM feeder 0xFFFF65FC (Vehicle Speed, corrections item 8 / 9) is passed as this axis's lookup input at 1 call site(s); envelope 0..100 AGREES with vehicle_speed
0xC15C4 | 10 | 800 | 4400 | Engine Speed | rpm | high | 0xAAA20:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 800..4400 AGREES with rpm
0xC15F8 | 15 | 800 | 6400 | Engine Speed | rpm | high | 0xAAA34:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 800..6400 AGREES with rpm
0xC16D0 | 16 | 0 | 2 | Engine Load | load | high | 0xAAA4C:0 | 0xFFFF63F8 | settled RAM feeder 0xFFFF63F8 (Engine Load, corrections item 9) is passed as this axis's lookup input at 2 call site(s); envelope 0..2 AGREES with load
0xC2180 | 3 | 0.4 | 1.6 | Engine Load | load | high | 0xAAAD4:0 | 0xFFFF63F8 | settled RAM feeder 0xFFFF63F8 (Engine Load, corrections item 9) is passed as this axis's lookup input at 1 call site(s); envelope 0.4..1.6 AGREES with load
0xC218C | 3 | 600 | 3600 | Engine Speed | rpm | high | 0xAAAD4:1 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 600..3600 AGREES with rpm
0xC25DC | 5 | 100 | 760 | Manifold Pressure | pressure | high | 0xAABA4:0 | 0xFFFF620C | settled RAM feeder 0xFFFF620C (Manifold Pressure, corrections item 9) is passed as this axis's lookup input at 1 call site(s); envelope 100..760 AGREES with pressure
0xC25FC | 4 | 460 | 760 | Atmospheric Pressure | pressure | high | 0xAABB8:0 | 0xFFFF6898 | settled RAM feeder 0xFFFF6898 (Atmospheric Pressure, corrections item 11) is passed as this axis's lookup input at 1 call site(s); envelope 460..760 AGREES with pressure
0xC28D4 | 10 | 0 | 180 | Vehicle Speed | vehicle_speed | high | 0xAACAC:0 | 0xFFFF65FC | settled RAM feeder 0xFFFF65FC (Vehicle Speed, corrections item 8 / 9) is passed as this axis's lookup input at 1 call site(s); envelope 0..180 AGREES with vehicle_speed
0xC2ADC | 5 | 200 | 800 | Manifold Pressure | pressure | high | 0xAACEC:0 | 0xFFFF620C | settled RAM feeder 0xFFFF620C (Manifold Pressure, corrections item 9) is passed as this axis's lookup input at 1 call site(s); envelope 200..800 AGREES with pressure
0xC2AF0 | 5 | 1500 | 4000 | Engine Speed | rpm | high | 0xAACEC:1 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 1500..4000 AGREES with rpm
0xC2E98 | 7 | 800 | 7200 | Engine Speed | rpm | high | 0xAAD94:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 800..7200 AGREES with rpm
0xC3698 | 8 | 4000 | 7500 | Engine Speed | rpm | high | 0xAAE64:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 4000..7500 AGREES with rpm
0xC36C8 | 8 | 3200 | 6000 | Engine Speed | rpm | high | 0xAAE78:0 | 0xFFFF6624 | settled RAM feeder 0xFFFF6624 (Engine Speed, corrections item 9 / 24) is passed as this axis's lookup input at 1 call site(s); envelope 3200..6000 AGREES with rpm
0xC3770 | 9 | 8.5 | 16.5 | Battery Volts | voltage | high | 0xAAECC:0 | 0xFFFF4130 | settled RAM feeder 0xFFFF4130 (Battery Volts, corrections item 10) is passed as this axis's lookup input at 1 call site(s); envelope 8.5..16.5 AGREES with voltage
